20
1.000 0.100 0.000 0.000 0.000 
1.002 0.137 0.001 0.093 -0.172 
1.005 0.168 0.004 0.183 -0.328 
1.009 0.193 0.008 0.269 -0.468 
1.013 0.214 0.014 0.352 -0.592 
1.018 0.229 0.022 0.431 -0.700 
1.022 0.240 0.032 0.508 -0.791 
1.027 0.246 0.043 0.582 -0.866 
1.032 0.247 0.055 0.652 -0.925 
1.037 0.244 0.069 0.720 -0.966 
1.042 0.237 0.084 0.785 -0.990 
1.046 0.226 0.100 0.847 -0.997 
1.051 0.211 0.118 0.906 -0.987 
1.055 0.193 0.136 0.963 -0.959 
1.058 0.170 0.156 1.017 -0.913 
1.062 0.144 0.177 1.069 -0.849 
1.064 0.115 0.199 1.118 -0.767 
1.066 0.083 0.222 1.164 -0.667 
1.068 0.047 0.245 1.209 -0.548 
1.068 0.009 0.270 1.251 -0.411 
1.068 -0.033 0.295 1.290 -0.256 
1.067 -0.077 0.322 1.328 -0.081 
1.065 -0.123 0.349 1.364 0.113 
1.062 -0.173 0.376 1.399 0.326 
1.058 -0.225 0.404 1.432 0.559 
1.053 -0.279 0.433 1.464 0.811 
1.047 -0.335 0.463 1.495 1.083 
1.039 -0.394 0.493 1.525 1.376 
1.031 -0.455 0.524 1.555 1.689 
1.021 -0.517 0.555 1.586 2.023 
1.010 -0.582 0.587 1.616 2.378 
0.998 -0.649 0.620 1.648 2.756 
0.984 -0.718 0.653 1.681 3.155 
0.969 -0.789 0.687 1.717 3.578 
0.953 -0.862 0.722 1.754 4.025 
0.935 -0.938 0.758 1.795 4.496 
0.915 -1.015 0.794 1.840 4.993 
0.894 -1.094 0.831 1.890 5.516 
0.871 -1.176 0.870 1.946 6.067 
0.847 -1.260 0.909 2.008 6.648 
0.821 -1.347 0.950 2.079 7.259 
0.793 -1.437 0.992 2.159 7.904 
0.763 -1.530 1.036 2.250 8.583 
0.732 -1.626 1.082 2.354 9.299 
0.698 -1.726 1.131 2.474 10.056 
0.663 -1.830 1.181 2.611 10.856 
0.625 -1.938 1.235 2.770 11.703 
0.585 -2.052 1.292 2.953 12.602 
0.543 -2.172 1.354 3.167 13.558 
0.498 -2.297 1.419 3.416 14.576 
0.451 -2.431 1.491 3.709 15.664 
0.401 -2.573 1.568 4.053 16.830 
0.348 -2.725 1.653 4.462 18.084 
0.292 -2.889 1.747 4.948 19.438 
